epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.418,1.62847,2.22657,1.684,0.63435,0.24572,0.33224,0.14334,2.34378,4.11667,2.54633,0.000413712,0.000413712,0.000413712
2,55.7106,1.74063,1.98643,1.78664,0.31315,0.45882,0.26866,0.10927,2.1799,3.30925,2.29277,0.00080689,0.00080689,0.00080689
3,80.1955,1.81057,2.07535,1.82871,0.35529,0.30673,0.27707,0.11591,2.21606,2.90472,2.48806,0.0011765,0.0011765,0.0011765
4,104.313,1.71949,1.91131,1.76793,0.55405,0.39309,0.39792,0.17909,2.12507,2.02895,2.25975,0.00114393,0.00114393,0.00114393
5,128.87,1.6602,1.78026,1.7211,0.66124,0.46953,0.52015,0.22098,2.05265,1.94844,2.12881,0.00110857,0.00110857,0.00110857
6,153.702,1.60609,1.65619,1.66683,0.69105,0.47306,0.54617,0.24995,1.96647,1.74312,2.09152,0.00107321,0.00107321,0.00107321
7,178.201,1.56304,1.54452,1.65261,0.65917,0.56971,0.587,0.27386,1.96871,1.63334,2.05576,0.00103786,0.00103786,0.00103786
8,203.236,1.51975,1.48929,1.60892,0.69602,0.52662,0.57522,0.23668,2.03342,1.62803,2.08954,0.0010025,0.0010025,0.0010025
9,227.347,1.49014,1.41719,1.58705,0.68515,0.55033,0.55755,0.26535,1.98575,1.66807,2.0753,0.000967143,0.000967143,0.000967143
10,251.33,1.47954,1.38194,1.57419,0.73628,0.55492,0.64178,0.30865,1.91179,1.50711,2.00742,0.000931786,0.000931786,0.000931786
11,275.955,1.44041,1.30137,1.53636,0.67537,0.5967,0.60701,0.2607,1.9726,1.52613,2.05547,0.000896429,0.000896429,0.000896429
12,299.907,1.44045,1.29182,1.52763,0.68448,0.63261,0.65768,0.32335,1.80063,1.45309,1.90938,0.000861071,0.000861071,0.000861071
13,324.592,1.4005,1.23238,1.51045,0.73748,0.645,0.69203,0.32009,1.87085,1.41173,1.98626,0.000825714,0.000825714,0.000825714
14,348.475,1.39188,1.18597,1.48882,0.82704,0.66404,0.72235,0.34248,1.86217,1.29688,1.97766,0.000790357,0.000790357,0.000790357
15,373.343,1.33996,1.10072,1.44808,0.73078,0.63972,0.65229,0.31433,1.82942,1.35707,1.93906,0.000755,0.000755,0.000755
16,397.232,1.32035,1.10493,1.45118,0.72619,0.64106,0.6776,0.33411,1.85991,1.33281,1.95938,0.000719643,0.000719643,0.000719643
17,421.377,1.30188,1.03016,1.41922,0.77053,0.63857,0.70864,0.30889,1.95304,1.33808,2.07083,0.000684286,0.000684286,0.000684286
18,445.4,1.28583,1.02867,1.41115,0.74267,0.66241,0.67507,0.33247,1.83541,1.32559,1.96118,0.000648929,0.000648929,0.000648929
19,469.566,1.23632,0.96203,1.37324,0.75866,0.69094,0.70525,0.33658,1.84173,1.30516,1.98075,0.000613571,0.000613571,0.000613571
20,493.398,1.22367,0.94528,1.37216,0.77489,0.65037,0.6961,0.34986,1.8202,1.28698,1.95109,0.000578214,0.000578214,0.000578214
21,518.096,1.223,0.94825,1.36386,0.75428,0.73201,0.74366,0.37345,1.82373,1.17098,1.94372,0.000542857,0.000542857,0.000542857
22,542.615,1.19376,0.90021,1.35285,0.8272,0.62604,0.70063,0.34474,1.88287,1.32479,2.03809,0.0005075,0.0005075,0.0005075
23,566.634,1.18213,0.88783,1.32649,0.83307,0.64148,0.69725,0.33576,1.87854,1.26038,2.05111,0.000472143,0.000472143,0.000472143
24,590.488,1.156,0.84307,1.32431,0.807,0.66993,0.69155,0.34594,1.88394,1.26765,2.00992,0.000436786,0.000436786,0.000436786
25,614.693,1.1466,0.83456,1.31572,0.79498,0.69056,0.70759,0.36912,1.88965,1.23631,2.02521,0.000401429,0.000401429,0.000401429
26,679.138,1.04386,0.60484,1.30376,0.78055,0.64436,0.68371,0.34553,1.8124,1.265,2.0167,0.000366071,0.000366071,0.000366071
27,703.535,0.99481,0.54407,1.25635,0.78395,0.63208,0.67243,0.35211,1.83827,1.27592,2.07931,0.000330714,0.000330714,0.000330714
28,727.304,0.96097,0.5269,1.23387,0.74052,0.67968,0.69916,0.37021,1.86221,1.20316,2.03704,0.000295357,0.000295357,0.000295357
29,751.079,0.93129,0.50684,1.20748,0.78059,0.7249,0.712,0.37536,1.88145,1.17144,2.0995,0.00026,0.00026,0.00026
30,775.154,0.90101,0.48268,1.1899,0.77295,0.6374,0.69339,0.35527,1.85146,1.2638,2.10877,0.000224643,0.000224643,0.000224643
31,798.796,0.88419,0.46234,1.18102,0.81635,0.67373,0.73283,0.39141,1.84577,1.14277,2.075,0.000189286,0.000189286,0.000189286
32,823.262,0.8563,0.44563,1.15439,0.76109,0.68112,0.69614,0.3745,1.85605,1.22265,2.13895,0.000153929,0.000153929,0.000153929
33,846.896,0.83127,0.42553,1.13645,0.77849,0.6778,0.71522,0.3717,1.84436,1.20831,2.14916,0.000118571,0.000118571,0.000118571
34,870.558,0.80617,0.40703,1.11815,0.80131,0.63726,0.71154,0.38318,1.80396,1.26851,2.07581,8.32143e-05,8.32143e-05,8.32143e-05
35,894.297,0.77587,0.40224,1.10055,0.74467,0.68164,0.71276,0.37956,1.81202,1.22743,2.11675,4.78571e-05,4.78571e-05,4.78571e-05
